id,formulario,placa,cod_veh,clase,servicio,modalidad,fuga,codigo
566296,410212700,CQS943,2,AUTOMOVIL,PARTICULAR,,,215240-2
566297,410212800,NFD622,1,AUTOMOVIL,PARTICULAR,,,215241-1
566298,410212900,ORH71A,1,MOTOCICLETA,PARTICULAR,,,215242-1
566299,410212900,P/E,2,BICICLETA,PARTICULAR,,,215242-2
566300,410213000,JIB96,1,MOTOCICLETA,PARTICULAR,,,215243-1
566301,410213100,BDK151,1,CAMPERO,PARTICULAR,,,215244-1
566302,410213300,P/E,1,MOTOCICLETA,PARTICULAR,,,215245-1
566303,410213400,ZIG466,1,AUTOMOVIL,,,,215246-1
566304,410213400,APG576,2,CAMION FURGON,PUBLICO,,,215246-2
566305,410213500,SIO961,1,BUSETA,PUBLICO,,,215247-1
566306,410213600,ANH18,1,MOTOCICLETA,PARTICULAR,,,215248-1
566307,410213700,UDC583,1,BUS,PUBLICO,,,215249-1
566308,410214600,MQF823,1,AUTOMOVIL,PARTICULAR,,,215250-1
566309,410214600,SYM934,2,BUSETA,PUBLICO,,,215250-2
566310,410215200,CIL377,1,CAMPERO,OFICIAL,,,215251-1
566311,410215200,AMI901,2,CAMION ,PUBLICO,,,215251-2
566312,410215300,BOJ149,1,AUTOMOVIL,PARTICULAR,,,215252-1
566313,410215300,OBE760,2,CAMIONETA,OFICIAL,,,215252-2
566314,410215400,ATH598,1,AUTOMOVIL,PUBLICO,,,215253-1
566315,410215400,SHA436,2,MICROBUS,PUBLICO,,,215253-2
566316,410215500,SFL995,1,BUS,PUBLICO,,,215254-1
566317,410215500,SGV776,2,AUTOMOVIL,PUBLICO,,,215254-2
566318,410215700,CII605,1,CAMION ,PUBLICO,,,215255-1
566319,410215700,BMF267,2,AUTOMOVIL,PARTICULAR,,,215255-2
566320,410215800,SII347,1,AUTOMOVIL,PUBLICO,,,215256-1
566321,410215800,SFL982,2,BUS,PUBLICO,,,215256-2
566322,410216100,SFG722,1,BUS,PUBLICO,,,215257-1
566323,410216100,UDG042,2,AUTOMOVIL,PUBLICO,,,215257-2
566324,410216200,ZIO317,1,CAMIONETA,PARTICULAR,,,215258-1
566325,410216200,CKI313,2,AUTOMOVIL,PARTICULAR,,,215258-2
566326,410216300,CAJ498,1,CAMIONETA,PARTICULAR,,,215259-1
566327,410216300,CIL253,2,AUTOMOVIL,PARTICULAR,,,215259-2
566328,410216400,AUL902,1,AUTOMOVIL,PARTICULAR,,,215260-1
566329,410216400,VDC617,2,AUTOMOVIL,PUBLICO,,,215260-2
566330,410216500,P/E,1,NO IDENTIFICADO,,,,215261-1
566331,410216600,SBJ160,1,CAMION ,PUBLICO,,,215262-1
566332,410216600,KCI613,2,CAMPERO,PARTICULAR,,,215262-2
566333,410216700,P/E,1,MOTOCICLETA,PARTICULAR,,,215263-1
566334,410216800,P/E,1,BUS,PUBLICO,,,215264-1
566335,410216900,SIJ921,1,AUTOMOVIL,PUBLICO,,,215265-1
566336,410216900,P/E,2,BICICLETA,PARTICULAR,,,215265-2
566337,410217000,SFM898,1,BUS,PUBLICO,,,215266-1
566338,410217000,TQB296,2,BUSETA,PUBLICO,,,215266-2
566339,410217100,YME81,1,MOTOCICLETA,PARTICULAR,,,215267-1
566340,410217200,SIJ059,1,AUTOMOVIL,PUBLICO,,,215268-1
566341,410217200,VDB102,2,CAMION ,PUBLICO,,,215268-2
566342,410217300,SIA723,1,AUTOMOVIL,PUBLICO,,,215269-1
566343,410217400,JGQ72,1,MOTOCICLETA,PARTICULAR,,,215270-1
566344,410217500,BNK412,1,AUTOMOVIL,PARTICULAR,,,215271-1
566345,410217500,OAI663,2,CAMIONETA,PARTICULAR,,,215271-2
566346,410217500,BFZ103,3,AUTOMOVIL,PARTICULAR,,,215271-3
566347,410217600,CSW538,1,CAMPERO,PARTICULAR,,,215272-1
566348,410217600,VDC592,2,BUS,PUBLICO,,,215272-2
566349,410217700,BLT619,1,AUTOMOVIL,PARTICULAR,,,215273-1
566350,410217700,NTC080,2,MOTOCICLETA,PARTICULAR,,,215273-2
566351,410217800,BLH891,1,AUTOMOVIL,PARTICULAR,,,215274-1
566352,410217800,BDC765,2,AUTOMOVIL,PARTICULAR,,,215274-2
566353,410217900,VDE891,1,MICROBUS,PUBLICO,,,215275-1
566354,410217900,BJV164,2,AUTOMOVIL,PARTICULAR,,,215275-2
566355,410218100,JHF779,1,CAMIONETA,PARTICULAR,,,215276-1
566356,410218100,BJU095,2,CAMIONETA,PARTICULAR,,,215276-2
566357,410218200,VDC816,1,AUTOMOVIL,PUBLICO,,,215277-1
566358,410218200,BME944,2,AUTOMOVIL,PARTICULAR,,,215277-2
566359,410218300,CSK465,1,AUTOMOVIL,PARTICULAR,,,215278-1
566360,410218300,SIB742,2,AUTOMOVIL,PUBLICO,,,215278-2
566361,410218300,SIJ157,3,AUTOMOVIL,PUBLICO,,,215278-3
566362,410218400,BGW629,1,AUTOMOVIL,PARTICULAR,,,215279-1
566363,410218400,TWA030,2,TRACTOCAMION,PUBLICO,,,215279-2
566364,410218500,AHJ960,1,CAMION ,PUBLICO,,,215280-1
566365,410218500,CBV582,2,AUTOMOVIL,PARTICULAR,,,215280-2
566366,410218700,PAD226,1,AUTOMOVIL,PARTICULAR,,,215281-1
566367,410218700,XDH394,2,AUTOMOVIL,PUBLICO,,,215281-2
566368,410218800,FVE253,1,AUTOMOVIL,PARTICULAR,,,215282-1
566369,410218800,ZIP745,2,CAMION ,PARTICULAR,,,215282-2
566370,410218900,BHZ601,1,AUTOMOVIL,PARTICULAR,,,215283-1
566371,410218900,EWA018,2,VOLQUETA,PARTICULAR,,,215283-2
